Original,Human-readable,topic_2_environmental_regulation,topic_4_customer_orientation,topic_6_shareholder_affiliation,topic_8_hiring_employees,topic_9_natural_disaster,topic_11_litigation,topic_12_carbon_emissions,topic_13_labor_issues,topic_14_supply_chain_problems,topic_15_taxes,is_overlap
soc_pointsofinterest,points of interest,,,,,,,,,,,
soc_pointsofinterest_air_force_base,force base,,,,,,,,,,,
soc_pointsofinterest_airport,points of interest airport,,,,,,,,,,,
soc_pointsofinterest_airports,points of interest airports,,,,,,,,,,,
soc_pointsofinterest_army_base,base,,,,,,,,,,,
soc_pointsofinterest_college,points of interest college,,,,,,,,,,,
soc_pointsofinterest_colleges,points of interest colleges,,,,,,,,,,,
soc_pointsofinterest_fire_station,station,,,,,,,,,,,
soc_pointsofinterest_government_building,building,,,,,,,,,,,
soc_pointsofinterest_government_buildings,buildings,,,,,,,,,,,
soc_pointsofinterest_headquarters,points of interest headquarters,,,,,,,,,,,
soc_pointsofinterest_health_center,center,,,,,,,,,,,
soc_pointsofinterest_health_centers,centers,,,,,,,,,,,
soc_pointsofinterest_high_school,school,,,,,,,,,,,
soc_pointsofinterest_high_schools,schools,,,,,,,,,,,
soc_pointsofinterest_highschool,points of interest highschool,,,,,,,,,,,
soc_pointsofinterest_hospital,points of interest hospital,,,,,,,,,,,
soc_pointsofinterest_hospitals,points of interest hospitals,,,,,,,,,,,
soc_pointsofinterest_jail,points of interest jail,,,,,,,,,,,
soc_pointsofinterest_jails,points of interest jails,,,,,,,,,,,
soc_pointsofinterest_medical_center,center,,,,,,,,,,,
soc_pointsofinterest_medical_centers,centers,,,,,,,,,,,
soc_pointsofinterest_middle_school,school,,,,,,,,,,,
soc_pointsofinterest_middle_schools,schools,,,,,,,,,,,
soc_pointsofinterest_military_base,base,,,,,,,,,,,
soc_pointsofinterest_military_bases,bases,,,,,,,,,,,
soc_pointsofinterest_police_station,station,,,,,,,,,,,
soc_pointsofinterest_police_stations,stations,,,,,,,,,,,
soc_pointsofinterest_preschool,points of interest preschool,,,,,,,,,,,
soc_pointsofinterest_preschools,points of interest preschool s,,,,,,,,,,,
soc_pointsofinterest_prison,points of interest prison,,,,,,,,,,,
soc_pointsofinterest_prisons,points of interest prisons,,,,,,,,,,,
soc_pointsofinterest_refugee_camp,camp,,,,,,,,,,,
soc_pointsofinterest_refugee_camps,camps,,,,,,,,,,,
soc_pointsofinterest_school,points of interest school,,,,,,,,,,,
soc_pointsofinterest_schools,points of interest schools,,,,,,,,,,,
soc_pointsofinterest_universities,points of interest universities,,,,,,,,,,,
soc_pointsofinterest_university,points of interest university,,,,,,,,,,,
soc_polarized,polarized,,,,,,,,,,,
soc_policemilitarization,police militarization,,,,,,,,,,,
soc_quarantine,quarantine,,,,,,,,,,,
soc_ransom,ransom,,,,,,,,,,,
soc_refugeecamp,refugee camp,,,,,,,,,,,
soc_selfimmolation,self immolation,,,,,,,,,,,
soc_slavery,slavery,,,,,,,,,,,
soc_suicide,suicide,,,,,,,,,,,
soc_suspiciousactivity,suspicious activity,,,,,,,,,,,
soc_suspiciouspeople,suspicious people,,,,,,,,,,,
soc_technologysector,technology sector,,,,,,,,,,,
soc_trafficaccident,traffic accident,,,,,,,,,,,
soc_ussecurityagencies,us security agencies,,,,,,,,,,,
sovereignty,sovereignty,,,,,,,,,,,
state_of_emergency,emergency,,,,,,,,,,,
strike,strike,,,,,,,,1,,,
suicide_attack,attack,,,,,,,,,,,
surveillance,surveillance,,,,,,,,,,,
take_office,office,,,,,,,,,,,
tax_agriculharminsects,agric ul harmin sects,,,,,,,,,,,
tax_agriculharminsects_delia,agric ul harmin sects delia,,,,,,,,,,,
tax_agriculharminsects_locust,agric ul harmin sects locust,,,,,,,,,,,
tax_agriculharminsects_mites,agric ul harmin sect smites,,,,,,,,,,,
tax_agriculharminsects_moth,agric ul harmin sects moth,,,,,,,,,,,
tax_aidgroups,aid groups,,,,,,,,,,,
tax_aidgroups_american_red_cross,red cross,,,,,,,,,,,
tax_aidgroups_amnesty_international,international,,,,,,,,,,,
tax_aidgroups_asian_development_bank,development bank,,,,,,,,,,,
tax_aidgroups_association_of_southeast_asian_nations,southeast asian nations,,,,,,,,,,,
tax_aidgroups_doctors_without_borders,borders,,,,,,,,,,,
tax_aidgroups_federal_emergency_management_agency,emergency management agency,,,,,,,,,,,
tax_aidgroups_greenpeace,aid groups green peace,,,,,,,,,,,
tax_aidgroups_habitat_for_humanity,humanity,,,,,,,,,,,
tax_aidgroups_high_commissioner_for_refugees,commissioner refugees,,,,,,,,,,,
tax_aidgroups_human_rights_watch,right swatch,,,,,,,,,,,
tax_aidgroups_international_organization_for_migration,organization migration,,,,,,,,,,,
tax_aidgroups_oxfam,aid groups ox fam,,,,,,,,,,,
tax_aidgroups_red_crescent,crescent,,,,,,,,,,,
tax_aidgroups_red_cross,cross,,,,,,,,,,,
tax_aidgroups_salvation_army,army,,,,,,,,,,,
tax_aidgroups_save_the_children,children,,,,,,,,,,,
tax_aidgroups_transparency_international,international,,,,,,,,,,,
tax_aidgroups_unicef,aid groups unicef,,,,,,,,,,,
tax_aidgroups_world_food_programme,food programme,,,,,,,,,,,
tax_aidgroups_world_health_organization,health organization,,,,,,,,,,,
tax_cartels,cartels,,,,,,,,,,,
tax_chronicdisease,chronic disease,,,,,,,,,,,
tax_chronicdisease_alzheimer,chronic disease alzheimer,,,,,,,,,,,
tax_chronicdisease_alzheimers,chronic disease alzheimer s,,,,,,,,,,,
tax_chronicdisease_arthritis,chronic disease arthritis,,,,,,,,,,,
tax_chronicdisease_asthma,chronic disease asthma,,,,,,,,,,,
tax_chronicdisease_chronic_disease,chronic disease chronic,,,,,,,,,,,
tax_chronicdisease_diabetes,chronic disease diabetes,,,,,,,,,,,
tax_chronicdisease_heart_disease,chronic disease heart,,,,,,,,,,,
tax_chronicdisease_poor_health,health,,,,,,,,,,,
tax_disease,disease,,,,,1,,,,,,
tax_disease_abdomen,abdomen,,,,,,,,,,,
tax_disease_abdominal_pain,abdominal pain,,,,,,,,,,,
tax_disease_abnormalities,abnormalities,,,,,,,,,,,
tax_disease_adhd,ad hd,,,,,,,,,,,
tax_disease_alcoholism,alcoholism,,,,,,,,,,,
tax_disease_allergic,allergic,,,,,,,,,,,
tax_disease_allergy,allergy,,,,,,,,,,,
tax_disease_alzheimer,alzheimer,,,,,,,,,,,
tax_disease_alzheimer_disease,alzheimer,,,,,,,,,,,
tax_disease_alzheimers,alzheimer s,,,,,,,,,,,
tax_disease_amnesia,amnesia,,,,,,,,,,,
tax_disease_amputation,amputation,,,,,,,,,,,
tax_disease_anemia,anemia,,,,,,,,,,,
tax_disease_aneurysm,aneurysm,,,,,,,,,,,
tax_disease_anomaly,anomaly,,,,,,,,,,,
tax_disease_anthrax,anthrax,,,,,,,,,,,
tax_disease_anticipation,anticipation,,,,,,,,,,,
tax_disease_arthritis,arthritis,,,,,,,,,,,
tax_disease_asthma,asthma,,,,,,,,,,,
tax_disease_atherosclerosis,atherosclerosis,,,,,,,,,,,
tax_disease_atrophy,atrophy,,,,,,,,,,,
tax_disease_autism,autism,,,,,,,,,,,
tax_disease_back_pain,back pain,,,,,,,,,,,
tax_disease_bacteria,bacteria,,,,,1,,,,,,
tax_disease_bacterial,bacterial,,,,,1,,,,,,
tax_disease_bipolar_disorder,bipolar disorder,,,,,,,,,,,
tax_disease_bird_flu,bird flu,,,,,1,,,,,,
tax_disease_birth_defects,birth defects,,,,,,,,,,,
tax_disease_blindness,blindness,,,,,,,,,,,
tax_disease_body_weight,bodyweight,,,,,,,,,,,
tax_disease_brain_damage,brain damage,,,,,,,,,,,
tax_disease_brain_injury,brain injury,,,,,,,,,,,
tax_disease_breast_cancer,breast cancer,,,,,,,,,,,
tax_disease_bronchitis,bronchitis,,,,,,,,,,,
tax_disease_bse,bse,,,,,,,,,,,
tax_disease_cancer,cancer,,,,,,,,,,,
tax_disease_cardiovascular_diseases,cardiovascular diseases,,,,,,,,,,,
tax_disease_carotid_artery,carotid artery,,,,,,,,,,,
tax_disease_cataract,cataract,,,,,,,,,,,
tax_disease_cerebral_palsy,cerebral palsy,,,,,,,,,,,
tax_disease_chest_pain,chest pain,,,,,,,,,,,
tax_disease_chikungunya,chi kung un ya,,,,,,,,,,,
tax_disease_chills,chills,,,,,,,,,,,
tax_disease_cholera,cholera,,,,,,,,,,,
tax_disease_chorea,chorea,,,,,,,,,,,
tax_disease_chronic_disease,chronic,,,,,,,,,,,
tax_disease_chronic_pain,chronic pain,,,,,,,,,,,
tax_disease_cirrhosis,cirrhosis,,,,,,,,,,,
tax_disease_colic,colic,,,,,,,,,,,
tax_disease_coma,coma,,,,,,,,,,,
tax_disease_common_cold,common cold,,,,,,,,,,,
tax_disease_communicable,communicable,,,,,,,,,,,
tax_disease_congenital,congenital,,,,,,,,,,,
tax_disease_constipation,constipation,,,,,,,,,,,
tax_disease_contagious,contagious,,,,,,,,,,,
tax_disease_conventional,conventional,,,,,,,,,,,
tax_disease_convulsions,convulsions,,,,,,,,,,,
tax_disease_coronary_heart_disease,coronary heart,,,,,,,,,,,
tax_disease_cough,cough,,,,,1,,,,,,
tax_disease_deficiency,deficiency,,,,,,,,,,,
tax_disease_dehydration,dehydration,,,,,,,,,,,
tax_disease_delirium,delirium,,,,,,,,,,,
tax_disease_dementia,dementia,,,,,,,,,,,
tax_disease_dengue,dengue,,,,,,,,,,,
tax_disease_dengue_fever,dengue fever,,,,,,,,,,,
tax_disease_depression,depression,,,,,,,,,,,
tax_disease_diabetes,diabetes,,,,,,,,,,,
tax_disease_diarrhea,diarrhea,,,,,,,,,,,
tax_disease_diarrhoea,diarrhoea,,,,,,,,,,,
tax_disease_disease,disease disease,,,,,1,,,,,,
tax_disease_diseases,diseases,,,,,1,,,,,,
tax_disease_disruptive,disruptive,,,,,,,,,,,
tax_disease_dizziness,dizziness,,,,,,,,,,,
tax_disease_down_syndrome,syndrome,,,,,,,,,,,
tax_disease_drug_overdose,drug overdose,,,,,,,,,,,
tax_disease_dumping,dumping,,,,,,,,,,,
tax_disease_dyspnea,dyspnea,,,,,,,,,,,
tax_disease_ebola,e bola,,,,,1,,,,,,
tax_disease_edema,edema,,,,,,,,,,,
tax_disease_embolism,embolism,,,,,,,,,,,
tax_disease_emergencies,emergencies,,,,,,,,,,,
tax_disease_encephalitis,encephalitis,,,,,,,,,,,
tax_disease_epidemic,epidemic,,,,,1,,,,,,
tax_disease_epilepsy,epilepsy,,,,,,,,,,,
tax_disease_fatigue,fatigue,,,,,,,,,,,
tax_disease_fever,fever,,,,,1,,,,,,
tax_disease_fibrosis,fibrosis,,,,,,,,,,,
tax_disease_fingerprints,fingerprints,,,,,,,,,,,
tax_disease_flu,flu,,,,,1,,,,,,
tax_disease_flushing,flushing,,,,,,,,,,,
tax_disease_food_poisoning,food poisoning,,,,,,,,,,,
tax_disease_fractures,fractures,,,,,,,,,,,
tax_disease_gambling,gambling,,,,,,,,,,,
tax_disease_gastrointestinal,gastrointestinal,,,,,,,,,,,
tax_disease_group_b,group,,,,,,,,,,,
tax_disease_hallucinations,hallucinations,,,,,,,,,,,
tax_disease_head_injuries,head injuries,,,,,,,,,,,
tax_disease_headache,headache,,,,,,,,,,,
tax_disease_hearing_loss,hearing loss,,,,,,,,,,,
tax_disease_heart_attack,heart attack,,,,,,,,,,,
tax_disease_heart_disease,heart,,,,,,,,,,,
tax_disease_heart_failure,heart failure,,,,,,,,,,,
tax_disease_hemorrhage,hemorrhage,,,,,,,,,,,
tax_disease_hemorrhagic,hemorrhagic,,,,,,,,,,,
tax_disease_hepatitis,hepatitis,,,,,,,,,,,
tax_disease_hepatitis_c,hepatitis,,,,,,,,,,,
tax_disease_herpes,herpes,,,,,,,,,,,
tax_disease_high_blood_pressure,pressure,,,,,,,,,,,
tax_disease_hiv,hiv,,,,,,,,,,,
tax_disease_hiv_aids,hiv aids,,,,,,,,,,,
tax_disease_hyperplasia,hyperplasia,,,,,,,,,,,
tax_disease_hypertension,hypertension,,,,,,,,,,,
tax_disease_hypothermia,hypothermia,,,,,,,,,,,
tax_disease_hysteria,hysteria,,,,,,,,,,,
tax_disease_illusions,illusions,,,,,,,,,,,
tax_disease_impotence,impotence,,,,,,,,,,,
tax_disease_infarction,infarction,,,,,,,,,,,
tax_disease_infection,infection,,,,,,,,,,,
tax_disease_infectious,infectious,,,,,,,,,,,
tax_disease_infectious_disease,infectious,,,,,,,,,,,
tax_disease_infertility,infertility,,,,,,,,,,,
tax_disease_inflammation,inflammation,,,,,,,,,,,
tax_disease_influenza,influenza,,,,,1,,,,,,
tax_disease_insomnia,insomnia,,,,,,,,,,,
tax_disease_intrinsic,intrinsic,,,,,,,,,,,
tax_disease_ischemia,ischemia,,,,,,,,,,,
tax_disease_kidney_disease,kidney,,,,,,,,,,,
tax_disease_kidney_failure,kidney failure,,,,,,,,,,,
tax_disease_leukemia,leukemia,,,,,,,,,,,
tax_disease_lice,lice,,,,,,,,,,,
tax_disease_lung_cancer,lung cancer,,,,,,,,,,,
tax_disease_lymphoma,lymphoma,,,,,,,,,,,
tax_disease_malaria,malaria,,,,,,,,,,,
tax_disease_malnutrition,malnutrition,,,,,,,,,,,
tax_disease_measles,measles,,,,,,,,,,,
tax_disease_melanoma,melanoma,,,,,,,,,,,
tax_disease_meningitis,meningitis,,,,,,,,,,,
tax_disease_menopause,menopause,,,,,,,,,,,
tax_disease_mental_illness,mental illness,,,,,,,,,,,
tax_disease_mentally_ill,mentally ill,,,,,,,,,,,
tax_disease_metabolism,metabolism,,,,,,,,,,,
tax_disease_microcephaly,microcephaly,,,,,,,,,,,
tax_disease_migraine,migraine,,,,,,,,,,,
tax_disease_miscarriage,miscarriage,,,,,,,,,,,
tax_disease_mole,mole,,,,,,,,,,,
tax_disease_multiple_sclerosis,multiple sclerosis,,,,,,,,,,,
tax_disease_myocardial_infarction,myocardial infarction,,,,,,,,,,,
tax_disease_nausea,nausea,,,,,,,,,,,
tax_disease_necrosis,necrosis,,,,,,,,,,,
tax_disease_obese,obese,,,,,,,,,,,
tax_disease_obesity,obesity,,,,,,,,,,,
tax_disease_occlusion,occlusion,,,,,,,,,,,
tax_disease_osteoarthritis,osteoarthritis,,,,,,,,,,,
tax_disease_osteoporosis,osteoporosis,,,,,,,,,,,
tax_disease_outbreak,outbreak,,,,,,,,,1,,
tax_disease_overweight,overweight,,,,,,,,,,,
tax_disease_pancreatic_cancer,pancreatic cancer,,,,,,,,,,,
tax_disease_paralysis,paralysis,,,,,,,,,,,
tax_disease_parkinson_disease,parkinson,,,,,,,,,,,
tax_disease_pathogen,pathogen,,,,,,,,,,,
tax_disease_pathogens,pathogens,,,,,,,,,,,
tax_disease_pedophilia,pedophilia,,,,,,,,,,,
tax_disease_plague,plague,,,,,1,,,,1,,
tax_disease_plaque,plaque,,,,,1,,,,,,
tax_disease_pneumonia,pneumonia,,,,,1,,,,,,
tax_disease_poisoned,poisoned,,,,,,,,,,,
tax_disease_poisoning,poisoning,,,,,,,,,,,
tax_disease_polio,polio,,,,,,,,,,,
tax_disease_pregnancy,pregnancy,,,,,,,,,,,
tax_disease_prostate_cancer,prostate cancer,,,,,,,,,,,
tax_disease_rabies,rabies,,,,,,,,,,,
tax_disease_rash,rash,,,,,,,,,,,
tax_disease_recurrence,recurrence,,,,,,,,,,,
tax_disease_remission,remission,,,,,,,,,,,
tax_disease_renal,renal,,,,,,,,,,,
tax_disease_respiratory_illness,respiratory illness,,,,,,,,,,,
tax_disease_rheumatism,rheumatism,,,,,,,,,,,
tax_disease_rheumatoid_arthritis,rheumatoid arthritis,,,,,,,,,,,
tax_disease_salmonella,salmonella,,,,,,,,,,,
tax_disease_sars,sar s,,,,,,,,,,,
tax_disease_schizophrenia,schizophrenia,,,,,,,,,,,
tax_disease_sclerosis,sclerosis,,,,,,,,,,,
tax_disease_seizures,seizures,,,,,,,,,,,
tax_disease_sexually_transmitted_diseases,diseases,,,,,,,,,,,
tax_disease_shingles,shingles,,,,,,,,,,,
tax_disease_skin_cancer,skin cancer,,,,,,,,,,,
tax_disease_starvation,starvation,,,,,,,,,,,
tax_disease_stroke,stroke,,,,,,,,,,,
tax_disease_substance_abuse,substance abuse,,,,,,,,,,,
tax_disease_syndrome,syndrome,,,,,,,,,,,
tax_disease_tonic,tonic,,,,,,,,,,,
tax_disease_transitional,transitional,,,,,,,,,,,
tax_disease_trauma,trauma,,,,,,,,,,,
tax_disease_tremor,tremor,,,,,,,,,,,
tax_disease_tuberculosis,tuberculosis,,,,,1,,,,,,
tax_disease_tumor,tumor,,,,,,,,,,,
tax_disease_tumour,tumour,,,,,,,,,,,
tax_disease_twinning,twinning,,,,,,,,,,,
tax_disease_ulcers,ulcers,,,,,,,,,,,
tax_disease_vertigo,vertigo,,,,,,,,,,,
tax_disease_vomiting,vomiting,,,,,,,,,,,
tax_disease_weight_gain,weight gain,,,,,,,,,,,
tax_disease_weight_loss,weight loss,,,,,,,,,,,
tax_disease_west_nile_virus,virus,,,,,1,,,,,,
tax_disease_wounds,wounds,,,,,,,,,,,
tax_disease_yellow_fever,fever,,,,,1,,,,,,
tax_disease_zika,zi ka,,,,,1,,,,,,
tax_disease_zika_virus,virus,,,,,1,,,,,,
tax_econ_freetradeagreements,econ free trade agreements,,,,,,,,,,,
tax_econ_freetradeagreements_eurasian_economic_union,eurasian economic union,,,,,,,,,,,
tax_econ_freetradeagreements_european_economic_area,european economic area,,,,,,,,,,,
tax_econ_freetradeagreements_free_trade_agreement,free trade agreement,,,,,,,,,,,
tax_econ_freetradeagreements_mercosur,mer co sur,,,,,,,,,,,
tax_econ_freetradeagreements_nafta,naf ta,,,,,,,,,,,
tax_econ_freetradeagreements_north_american_free_trade_agreement,north american free trade agreement,,,,,,,,,,,
tax_econ_freetradeagreements_tpp,tp p,,,,,,,,,,,
tax_econ_freetradeagreements_ttip,t tip,,,,,,,,,,,
tax_econ_price,econ price,,1,,,,,,,,,
tax_ethnicity,ethnicity,,,,,,,,,,,
tax_ethnicity_ahmadi,ahmadi,,,,,,,,,,,
tax_ethnicity_albanian,albanian,,,,,,,,,,,
tax_ethnicity_albanians,albanians,,,,,,,,,,,
tax_ethnicity_algerian,algerian,,,,,,,,,,,
tax_ethnicity_american,american,,,,,,,,,,,
tax_ethnicity_americans,americans,,,,,,,,,,,
tax_ethnicity_arab,arab,,,,,,,,,,,
tax_ethnicity_arabs,arabs,,,,,,,,,,,
tax_ethnicity_argentinians,argentinian s,,,,,,,,,,,
tax_ethnicity_ari,ari,,,,,,,,,,,
tax_ethnicity_armenian,armenian,,,,,,,,,,,
tax_ethnicity_armenians,armenians,,,,,,,,,,,
tax_ethnicity_asian,asian,,,,,,,,,,,
tax_ethnicity_asians,asians,,,,,,,,,,,
tax_ethnicity_australian,australian,,,,,,,,,,,
tax_ethnicity_australians,australians,,,,,,,,,,,
tax_ethnicity_austrian,austrian,,,,,,,,,,,
tax_ethnicity_austrians,austrians,,,,,,,,,,,
tax_ethnicity_azerbaijani,azerbaijani,,,,,,,,,,,
tax_ethnicity_bahraini,bahrain i,,,,,,,,,,,
tax_ethnicity_baloch,baloch,,,,,,,,,,,
tax_ethnicity_bangladeshi,bangladesh i,,,,,,,,,,,
tax_ethnicity_basque,basque,,,,,,,,,,,
tax_ethnicity_belarusian,belar usia n,,,,,,,,,,,
tax_ethnicity_belgian,belgian,,,,,,,,,,,
tax_ethnicity_bengali,bengali,,,,,,,,,,,
tax_ethnicity_black,black,,,,,,,,,,,
tax_ethnicity_blacks,black s,,,,,,,,,,,
tax_ethnicity_bolivia,bolivia,,,,,,,,,,,
tax_ethnicity_buddhist,buddhist,,,,,,,,,,,
tax_ethnicity_buddhists,buddhists,,,,,,,,,,,
tax_ethnicity_bulgarian,bulgarian,,,,,,,,,,,
tax_ethnicity_canadian,canadian,,,,,,,,,,,
tax_ethnicity_canadians,canadians,,,,,,,,,,,
tax_ethnicity_catalan,catalan,,,,,,,,,,,
tax_ethnicity_catholics,catholics,,,,,,,,,,,
tax_ethnicity_celtic,celtic,,,,,,,,,,,
tax_ethnicity_chechen,chechen,,,,,,,,,,,
tax_ethnicity_cherokee,cherokee,,,,,,,,,,,
tax_ethnicity_chileans,chileans,,,,,,,,,,,
tax_ethnicity_chinese,chinese,,,,,,,,,,,
tax_ethnicity_chop,chop,,,,,,,,,,,
tax_ethnicity_chops,chops,,,,,,,,,,,
tax_ethnicity_christian,christian,,,,,,,,,,,
tax_ethnicity_christians,christians,,,,,,,,,,,
tax_ethnicity_colombian,colombian,,,,,,,,,,,
tax_ethnicity_colombians,colombians,,,,,,,,,,,
tax_ethnicity_coptic,coptic,,,,,,,,,,,
tax_ethnicity_copts,copt s,,,,,,,,,,,
tax_ethnicity_creole,creole,,,,,,,,,,,
tax_ethnicity_croatian,croatian,,,,,,,,,,,
tax_ethnicity_croats,croat s,,,,,,,,,,,
tax_ethnicity_czech,czech,,,,,,,,,,,
tax_ethnicity_czechs,czechs,,,,,,,,,,,
tax_ethnicity_dalit,da lit,,,,,,,,,,,
tax_ethnicity_dalits,da lits,,,,,,,,,,,
tax_ethnicity_dime,dime,,,,,,,,,,,
tax_ethnicity_dominicans,dominicans,,,,,,,,,,,
tax_ethnicity_dutch,dutch,,,,,,,,,,,
tax_ethnicity_edo,edo,,,,,,,,,,,
tax_ethnicity_english,english,,,,,,,,,,,
tax_ethnicity_eritrean,eritrean,,,,,,,,,,,
tax_ethnicity_estonian,estonian,,,,,,,,,,,
tax_ethnicity_europeans,europeans,,,,,,,,,,,
tax_ethnicity_filipino,filipino,,,,,,,,,,,
tax_ethnicity_filipinos,filipinos,,,,,,,,,,,
tax_ethnicity_finns,finns,,,,,,,,,,,
tax_ethnicity_french,french,,,,,,,,,,,
tax_ethnicity_fulani,fulani,,,,,,,,,,,
tax_ethnicity_galician,galician,,,,,,,,,,,
tax_ethnicity_georgian,georgian,,,,,,,,,,,
tax_ethnicity_georgians,georgians,,,,,,,,,,,
tax_ethnicity_german,german,,,,,,,,,,,
tax_ethnicity_germans,germans,,,,,,,,,,,
tax_ethnicity_greek,greek,,,,,,,,,,,
tax_ethnicity_greeks,greeks,,,,,,,,,,,
tax_ethnicity_guatemalan,guatemalan,,,,,,,,,,,
tax_ethnicity_haitian,haitian,,,,,,,,,,,
tax_ethnicity_haitians,haitians,,,,,,,,,,,
tax_ethnicity_hawaiian,hawaiian,,,,,,,,,,,
tax_ethnicity_hindu,hindu,,,,,,,,,,,
tax_ethnicity_hindus,hindus,,,,,,,,,,,
tax_ethnicity_houthi,hout hi,,,,,,,,,,,
tax_ethnicity_houthis,hout his,,,,,,,,,,,
tax_ethnicity_hungarian,hungarian,,,,,,,,,,,
tax_ethnicity_hungarians,hungarians,,,,,,,,,,,
tax_ethnicity_indian,indian,,,,,,,,,,,
tax_ethnicity_indians,indians,,,,,,,,,,,
tax_ethnicity_indigenous,indigenous,,,,,,,,,,,
tax_ethnicity_indonesian,indonesian,,,,,,,,,,,
tax_ethnicity_indonesians,indonesians,,,,,,,,,,,
tax_ethnicity_iranian,iranian,,,,,,,,,,,
tax_ethnicity_iranians,iranians,,,,,,,,,,,
tax_ethnicity_irish,irish,,,,,,,,,,,
tax_ethnicity_italian,italian,,,,,,,,,,,
tax_ethnicity_italians,italians,,,,,,,,,,,
tax_ethnicity_jain,jain,,,,,,,,,,,
tax_ethnicity_japanese,japanese,,,,,,,,,,,
tax_ethnicity_jewish,jewish,,,,,,,,,,,
tax_ethnicity_kannada,kannada,,,,,,,,,,,
tax_ethnicity_kashmiri,kashmiri,,,,,,,,,,,
tax_ethnicity_kazakh,kazakh,,,,,,,,,,,
tax_ethnicity_kenyan,kenyan,,,,,,,,,,,
tax_ethnicity_kenyans,kenyans,,,,,,,,,,,
tax_ethnicity_khmer,khmer,,,,,,,,,,,
tax_ethnicity_komi,komi,,,,,,,,,,,
tax_ethnicity_korean,korean,,,,,,,,,,,
tax_ethnicity_koreans,koreans,,,,,,,,,,,
tax_ethnicity_kurds,kurd s,,,,,,,,,,,
tax_ethnicity_kyrgyz,ky r gy z,,,,,,,,,,,
tax_ethnicity_lao,lao,,,,,,,,,,,
tax_ethnicity_laos,laos,,,,,,,,,,,
tax_ethnicity_latinos,latinos,,,,,,,,,,,
tax_ethnicity_latvian,latvian,,,,,,,,,,,
tax_ethnicity_lithuanian,lithuanian,,,,,,,,,,,
tax_ethnicity_luo,luo,,,,,,,,,,,
tax_ethnicity_macedonian,macedonian,,,,,,,,,,,
tax_ethnicity_malaga,malaga,,,,,,,,,,,
tax_ethnicity_malay,malay,,,,,,,,,,,
tax_ethnicity_mali,mali,,,,,,,,,,,
tax_ethnicity_maltese,maltese,,,,,,,,,,,
tax_ethnicity_maori,maori,,,,,,,,,,,
tax_ethnicity_mauritania,mauritania,,,,,,,,,,,
tax_ethnicity_mayan,mayan,,,,,,,,,,,
tax_ethnicity_mend,mend,,,,,,,,,,,
tax_ethnicity_mocha,mocha,,,,,,,,,,,
tax_ethnicity_moro,moro,,,,,,,,,,,
tax_ethnicity_moroccan,moroccan,,,,,,,,,,,
tax_ethnicity_moroccans,moroccans,,,,,,,,,,,
tax_ethnicity_muslim,muslim,,,,,,,,,,,
tax_ethnicity_muslims,muslims,,,,,,,,,,,
tax_ethnicity_naga,naga,,,,,,,,,,,
tax_ethnicity_nao,na o,,,,,,,,,,,
tax_ethnicity_native_american,native american,,,,,,,,,,,
tax_ethnicity_native_americans,native americans,,,,,,,,,,,
tax_ethnicity_navajo,navajo,,,,,,,,,,,
tax_ethnicity_nepalese,nepalese,,,,,,,,,,,
tax_ethnicity_nepali,nepali,,,,,,,,,,,
tax_ethnicity_new_zealanders,new zealanders,,,,,,,,,,,
tax_ethnicity_nicaraguan,nicaraguan,,,,,,,,,,,
tax_ethnicity_norwegians,norwegians,,,,,,,,,,,
tax_ethnicity_palestinian,palestinian,,,,,,,,,,,
tax_ethnicity_palestinians,palestinians,,,,,,,,,,,
tax_ethnicity_paraguayan,paraguayan,,,,,,,,,,,
tax_ethnicity_persian,persian,,,,,,,,,,,
tax_ethnicity_peruvian,peruvian,,,,,,,,,,,
tax_ethnicity_peruvians,peruvians,,,,,,,,,,,
tax_ethnicity_pole,pole,,,,,,,,,,,
tax_ethnicity_poles,poles,,,,,,,,,,,
tax_ethnicity_portuguese,portuguese,,,,,,,,,,,
tax_ethnicity_protestant,protestant,,,,,,,,,,,
tax_ethnicity_protestants,protestants,,,,,,,,,,,
tax_ethnicity_punjabi,punjabi,,,,,,,,,,,
tax_ethnicity_qiang,q i ang,,,,,,,,,,,
tax_ethnicity_rakhine,rakh ine,,,,,,,,,,,
tax_ethnicity_rohingya,r ohing ya,,,,,,,,,,,
tax_ethnicity_rohingyas,roh in gyas,,,,,,,,,,,
tax_ethnicity_romanian,romanian,,,,,,,,,,,
tax_ethnicity_romanians,romanian s,,,,,,,,,,,
tax_ethnicity_russian,russian,,,,,,,,,,,
tax_ethnicity_russians,russians,,,,,,,,,,,
tax_ethnicity_sami,sami,,,,,,,,,,,
tax_ethnicity_scandinavian,scandinavian,,,,,,,,,,,
tax_ethnicity_scottish,scottish,,,,,,,,,,,
tax_ethnicity_sena,sena,,,,,,,,,,,
tax_ethnicity_serb,serb,,,,,,,,,,,
tax_ethnicity_serbs,serb s,,,,,,,,,,,
tax_ethnicity_shiite,shiite,,,,,,,,,,,
tax_ethnicity_shiites,shiite s,,,,,,,,,,,
tax_ethnicity_sicilian,sicilian,,,,,,,,,,,
tax_ethnicity_sioux,sioux,,,,,,,,,,,
tax_ethnicity_slavic,slavic,,,,,,,,,,,
tax_ethnicity_slovene,slovene,,,,,,,,,,,
tax_ethnicity_somali,somali,,,,,,,,,,,
tax_ethnicity_soviet,soviet,,,,,,,,,,,
